species;habitat;venom_stat(threat_to_humans);threat_to_humans;model_predictions
Epinephelus-fuscoguttatus;"Marine;  reef-associated; depth range 1 - 60 m (Ref. 9710). Tropical; 29°N -   27°S, 33°E -   171°W (Ref. 5222)";nonvenomous;Reports of ciguatera poisoning (Ref. 4690);"Preferred temperature (Ref. 123201): 25.4 - 29.1, mean 28.2 °C (based on 1118 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00700 - 0.01565), b=3.03 (2.91 - 3.15), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.72 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.16-0.20).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (57 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (91 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Brienomyrus-brachyistius;"Freshwater; brackish;  benthopelagic. Tropical; 25°C - 28°C (Ref. 2060)";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00581 - 0.01499), b=2.71 (2.58 - 2.84), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.8   ±0.31 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec < 5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Thunnus-albacares;"Marine; brackish;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 1 - 1602 m, usually 1 - 250 m (Ref. 6390). Tropical; 15°C - 31°C (Ref. 168); 50°N -   50°S, 180°W -   180°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 16.5 - 28.9, mean 26.7 °C (based on 6382 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01445 (0.01182 - 0.01768), b=3.03 (2.99 - 3.07), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 2.8 (2.3 - 3.5) years. Estimated as median ln(3)/K based on 46 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.13-0.42; tm=2-5; tmax=8; Fec=200,000).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (46 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (42 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High."
Siniperca-chuatsi;"Freshwater;  benthopelagic; pH range: 7.0 - 7.4; dH range: 2 - 5; depth range 10 - ? m (Ref. 26334). Temperate; 4°C - 22°C (Ref. 2059); 53°N -   34°N, 113°E -   142°E";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01413 (0.01065 - 0.01873), b=3.00 (2.92 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.80 se; based on food items.					

				
					
					
						 Generation time: 7.4 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (48 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Puntigrus-tetrazona;"Freshwater;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19. Tropical; 20°C - 26°C (Ref. 13371); 6°N -   3°S, 95°E -   118°E";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Clupea-harengus;"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 364 m (Ref. 58426), usually 0 - 200 m (Ref. 6683). Temperate; 1°C - 18°C (Ref. 188); 80°N -   33°N, 95°W -   70°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 0.5 - 11.2, mean 6.6 °C (based on 912 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00550 (0.00483 - 0.00625), b=3.10 (3.06 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 3.3 (3.1 - 3.5) years. Estimated as median ln(3)/K based on 85 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.1-0.5; K=0.2-0.6; tm=2-5; tmax=25; Fec=17,300-301,000).					
								
					
						 Prior r = 0.45, 95% CL = 0.30 - 0.68, Based on 40 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (41 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (29 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Plectropomus-leopardus;"Marine;  reef-associated; depth range 3 - 100 m (Ref. 9710). Tropical; 24°C -  ? (Ref. 2160); 35°N -   30°S, 99°E -   178°W (Ref. 5222)";nonvenomous;Reports of ciguatera poisoning (Ref. 4821);"Preferred temperature (Ref. 123201): 24.7 - 29, mean 28 °C (based on 1194 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01175 (0.01053 - 0.01310), b=3.05 (3.02 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.7 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=2-4; tmax=26; Fec=457,900).					
								
					
						 Prior r = 0.71, 95% CL = 0.47 - 1.06, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (85 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Thunnus-maccoyii;"Marine;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 50 - 2743 m (Ref. 57178). Temperate; 5°C - 20°C (Ref. 168); 10°S -   60°S, 180°W -   180°E (Ref. 54921)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 2.5 - 7.9, mean 5 °C (based on 439 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.01067 - 0.01556), b=3.03 (2.99 - 3.07), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.53 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.14-0.15; tm=8-9; tmax=20; Fec=14 million).					
								
					
						 Prior r = 0.27, 95% CL = 0.18 - 0.41, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (67 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (38 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Nibea-albiflora;"Marine;  benthopelagic; depth range 25 - 80 m (Ref. 11230). Temperate; 39°N -   18°N, 105°E -   135°E";nonvenomous;Harmless;"Nutrients  (Ref. 124155):  Calcium = 33.4 [17.5, 69.7] mg/100g ; Iron = 0.315 [0.149, 0.588] mg/100g ; Protein = 18.8 [17.5, 20.1] % ; Omega3 = 0.603 [0.290, 1.145] g/100g ; Selenium = 14.9 [6.8, 31.8] μg/100g ; VitaminA = 16.9 [4.2, 71.0] μg/100g ; Zinc = 0.529 [0.363, 0.798] mg/100g (wet weight);"
Haplochromis-burtoni;"Freshwater;  benthopelagic; pH range: 8.5 - 9.0; dH range: 12 - 16; non-migratory. Tropical; 20°C - 25°C (Ref. 13371); 3°S -   9°S";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00690 - 0.03171), b=2.98 (2.81 - 3.15), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.35 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Toxotes-jaculatrix;"Freshwater; brackish;  pelagic-neritic; amphidromous (Ref. 51243). Tropical; 25°C - 30°C (Ref. 1672)";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01660 (0.00632 - 0.04360), b=3.00 (2.77 - 3.23), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.27 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Gasterosteus-aculeatus;"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 100 m (Ref. 50550). Subtropical; 4°C - 20°C (Ref. 1672); 72°N -   25°N, 117°E -   60°E (Ref. 26213)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 2 - 13.5, mean 8 °C (based on 2296 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00665 - 0.01435), b=3.09 (2.98 - 3.20), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.6-1.8; tm=1; tmax=4; Fec=80).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (24 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (26 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Simochromis-diagramma;"Freshwater;  benthopelagic. Tropical; 25°C -  ? (Ref. 2059); 3°S -   9°S";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Perca-fluviatilis;"Freshwater; brackish;  demersal; pH range: 7.0 - 7.5; dH range: 8 - 12; anadromous (Ref. 51243); depth range 1 - 30 m (Ref. 9988), usually 3 - 4 m (Ref. 55947). Temperate; 10°C - 22°C (Ref. 1672); 74°N -   38°N, 91°W -   168°E";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00823 - 0.01161), b=3.09 (3.04 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.8 (5.3 - 7.3) years. Estimated as median ln(3)/K based on 38 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.1-0.4; tm=2-4; tmax=22; Fecundity=13,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
