species,venom_stat(threat_to_humans),habitat,model_predictions,temp_min,temp_max
Stegastes-partitus,nonvenomous,"Marine;  reef-associated; non-migratory; depth range 0 - 100 m (Ref. 9626). Tropical; 33°N -   5°S, 98°W -   34°W","Preferred temperature (Ref. 123201): 24.2 - 28, mean 26.9 °C (based on 262 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01230 (0.00569 - 0.02662), b=3.06 (2.87 - 3.25), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 123 [65, 204] mg/100g ; Iron = 0.889 [0.533, 1.467] mg/100g ; Protein = 18.2 [17.1, 19.3] % ; Omega3 = 0.157 [0.098, 0.256] g/100g ; Selenium = 30.7 [16.8, 59.7] μg/100g ; VitaminA = 111 [31, 375] μg/100g ; Zinc = 2.37 [1.62, 3.37] mg/100g (wet weight);",24.2,28
Cyprinus-carpio,nonvenomous,"Freshwater; brackish;  benthopelagic; pH range: 6.5 - 9.0; dH range: 10 - 15; potamodromous (Ref. 51243); depth range 0 - 29 m (Ref. 120823). Subtropical; 3°C - 35°C (Ref. 12741); 54°N -   34°N, 12°E -   74°E (Ref. 59043)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01778 (0.01633 - 0.01937), b=2.95 (2.92 - 2.98), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.4 (3.7 - 6.5) years. Estimated as median ln(3)/K based on 42 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.10-0.30; tm=1-3; tmax=20; Fec=36,000-2,000,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (42 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",3,35
Silurus-meridionalis,nonvenomous,Freshwater;  demersal. Subtropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Oncorhynchus-keta,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 250 m (Ref. 50550), usually ? - 61 m (Ref. 96339). Temperate; 0°C - 24°C (Ref. 35682); 67°N -   24°N, 130°E -   110°W (Ref. 117423)","Preferred temperature (Ref. 123201): 1.1 - 8.3, mean 3.3 °C (based on 192 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01445 (0.00741 - 0.02819), b=3.10 (2.94 - 3.26), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.27-0.45; tm=2-5; tmax=6).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 7 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (71 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",1.1,8.3
Carassius-gibelio,nonvenomous,"Freshwater; brackish;  benthopelagic; pH range: 7.1 - 7.5; dH range: 12 - ?; potamodromous (Ref. 51243); depth range 0 - ? m. Temperate; 10°C - 20°C (Ref. 2059); 62°N -   35°N, 10°W -   155°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01349 (0.01150 - 0.01583), b=3.04 (3.00 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.5   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 6.1 (4.7 - 6.1) years. Estimated as median ln(3)/K based on 21 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.13; tm=1-4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,20
Solea-senegalensis,nonvenomous,"Marine;  demersal; depth range 12 - 100 m (Ref. 5304). Tropical; 47°N -   16°S, 19°W -   14°E","Preferred temperature (Ref. 123201): 13.6 - 21.6, mean 18.6 °C (based on 46 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00813 (0.00541 - 0.01221), b=3.06 (2.94 - 3.18), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.45 se; based on food items.					

				
					
					
						 Generation time: 6.2 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (43 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",13.6,21.6
Albula-glossodonta,nonvenomous,"Brackish;  reef-associated; oceanodromous (Ref. 51243); depth range ? - 10 m (Ref. 89972). Tropical; 32°N -   32°S, 42°E -   139°W","Preferred temperature (Ref. 123201): 24.6 - 29.3, mean 28.1 °C (based on 2148 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5007   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01318 (0.00552 - 0.03150), b=3.04 (2.83 - 3.25), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.2 se; based on size and trophs of closest relatives					

				
					
					
						 Generation time: 10.6 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (54 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",24.6,29.3
Astyanax-mexicanus,nonvenomous,Freshwater;  benthopelagic; potamodromous (Ref. 47195). Subtropical; 36°N -   24°N,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Nematolebias-whitei,nonvenomous,Freshwater;  benthopelagic; pH range: 6.5 - 7.0; dH range: 5 - 8; non-migratory. Tropical; 20°C - 23°C (Ref. 1672),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00891 (0.00396 - 0.02008), b=3.14 (2.94 - 3.34), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=0.1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",20,23
Megalops-atlanticus,nonvenomous,"Marine; freshwater; brackish;  reef-associated; amphidromous (Ref. 51243); depth range 0 - 40 m (Ref. 3789), usually 0 - 15 m (Ref. 42064). Subtropical; 10°C - 40°C (Ref. 93687); 49°N -   44°S, 99°W -   14°E (Ref. 55254)",,10,40
Caranx-melampygus,nonvenomous,"Marine; brackish;  reef-associated; depth range 0 - 190 m (Ref. 9710). Tropical; 35°N -   35°S, 30°E -   78°W","Preferred temperature (Ref. 123201): 23.2 - 29, mean 27.9 °C (based on 2624 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01738 (0.01430 - 0.02112), b=2.95 (2.92 - 2.98), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.8 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.23; tm=2; Fec=49,700).					
								
					
						 Prior r = 0.69, 95% CL = 0.45 - 1.03, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (56 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (75 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",23.2,29
Alosa-sapidissima,nonvenomous,"Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 51243); depth range 0 - 250 m (Ref. 6793). Subtropical; 54°N -   28°N, 84°W -   52°W (Ref. 86798)","Preferred temperature (Ref. 123201): 0.5 - 11.5, mean 5.6 °C (based on 113 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00646 (0.00393 - 0.01061), b=3.08 (2.94 - 3.22), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 5.5 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.14; tm=4.7).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (50 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (44 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",0.5,11.5
Chelmon-rostratus,nonvenomous,Marine; brackish;  reef-associated; non-migratory; depth range 1 - 25 m (Ref. 9710). Tropical,"Preferred temperature (Ref. 123201): 24.7 - 29.3, mean 28.5 °C (based on 3215 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01148 (0.00431 - 0.03057), b=3.09 (2.87 - 3.31), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.37 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",24.7,29.3
Anguilla-anguilla,nonvenomous,"Marine; freshwater; brackish;  demersal; catadromous (Ref. 51243); depth range 0 - 700 m (Ref. 54218). Temperate; 4°C - 20°C (Ref. 2059); 75°N -   8°N, 82°W -   50°E (Ref. 42249)","Preferred temperature (Ref. 123201): 3 - 14.5, mean 7.9 °C (based on 1203 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00095 (0.00084 - 0.00108), b=3.17 (3.13 - 3.21), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 8.7 (7.5 - 12.6) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.1; tm=6-30; tmax=23).					
								
					
						 Prior r = 0.20, 95% CL = 0.13 - 0.30, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (68 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4,20
Xiphias-gladius,nonvenomous,"Marine;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 0 - 2878 m (Ref. 116993), usually 0 - 550 m (Ref. 54934). Temperate; 5°C - 27°C (Ref. 43); 69°N -   50°S, 180°W -   180°E (Ref. 54934)","Preferred temperature (Ref. 123201): 10.9 - 27.6, mean 22.7 °C (based on 5276 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00372 (0.00159 - 0.00868), b=3.15 (2.94 - 3.36), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 8.5 (6.1 - 10.8) years. Estimated as median ln(3)/K based on 13 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.076; K=0.23; tm=5-6; tmax=9).					
								
					
						 Prior r = 0.56, 95% CL = 0.37 - 0.85, Based on 8 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (72 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (43 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",5,27
Polypterus-senegalus,nonvenomous,NA,NA,25,28
Oncorhynchus-mykiss,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 200 m (Ref. 50550). Subtropical; 10°C - 24°C (Ref. 12741); 67°N -   32°N, 135°E -   117°W","Preferred temperature (Ref. 123201): 1.3 - 10, mean 5.4 °C (based on 315 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00734 - 0.01187), b=3.03 (2.98 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 2.9 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.38-0.46; tm=2-5; tmax=11; Fec=200).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (43 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (52 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",1.3,10
Megalops-cyprinoides,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; amphidromous; depth range 50 - ? m (Ref. 2847). Tropical; 34°N -   37°S, 16°E -   130°W","Preferred temperature (Ref. 123201): 19.8 - 27.6, mean 24.4 °C (based on 501 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00534 - 0.01030), b=3.07 (2.98 - 3.16), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming tm<=4).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (75 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",19.8,27.6
Lucifuga-dentata,nonvenomous,Freshwater;  demersal. Tropical; 22°N -   20°N,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Nothobranchius-furzeri,nonvenomous,Freshwater;  benthopelagic; pH range: 6.5 - 7.0; dH range: 4 - 15; non-migratory. Tropical; 23°C - 30°C (Ref. 2060); 21°S -   23°S,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",23,30
Neolamprologus-brichardi,nonvenomous,NA,NA,22,25
Clarias-magur,nonvenomous,Freshwater;  demersal. Tropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Electrophorus-electricus,nonvenomous,Freshwater;  benthopelagic. Tropical; 23°C - 28°C (Ref. 1672),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00389 (0.00180 - 0.00842), b=3.12 (2.94 - 3.30), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.52 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=3; tmax=6 (captive); Fec=17,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",23,28
Etheostoma-cragini,nonvenomous,Freshwater;  benthopelagic. Subtropical; 40°N -   33°N,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Cyclopterus-lumpus,nonvenomous,"Marine;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 868 m (Ref. 58496), usually 50 - 150 m (Ref. 4701). Polar; 3°C - 11°C (Ref. 127841); 80°N -   32°N, 95°W -   49°E","Preferred temperature (Ref. 123201): 0.6 - 11.4, mean 7.1 °C (based on 732 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02630 (0.01096 - 0.06313), b=2.99 (2.77 - 3.21), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.12; tm=3-5; tmax=13; Fec=100,000).					
								
					
						 Prior r = 0.17, 95% CL = 0.10 - 0.27, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (47 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (26 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",3,11
Esox-lucius,nonvenomous,"Freshwater; brackish;  pelagic; potamodromous; depth range 0 - 30 m (Ref. 1998), usually 1 - 5 m (Ref. 1998). Subtropical; 10°C - 28°C (Ref. 12741); 72°N -   37°N, 11°W -   55°W (Ref. 121102)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5157   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00447 (0.00395 - 0.00505), b=3.08 (3.04 - 3.12), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 6.8 (5.7 - 8.3) years. Estimated as median ln(3)/K based on 37 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.07-0.3; tm=2-3; tmax=30; Fec=2,000-600,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (65 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,28
Ameiurus-melas,nonvenomous,Freshwater;  demersal; pH range: 6.5 - 8.0; dH range: 4 - 25; amphidromous (Ref. 51243); depth range 10 - ? m. Temperate; 8°C - 30°C (Ref. 2059); 52°N -   26°N,"Nutrients  (Ref. 124155):  Calcium = 26.2 [14.2, 56.7] mg/100g ; Iron = 0.454 [0.256, 0.749] mg/100g ; Protein = 17.2 [15.2, 19.0] % ; Omega3 = 1.23 [0.46, 3.30] g/100g ; Selenium = 17 [7, 43] μg/100g ; VitaminA = 20.3 [6.4, 62.9] μg/100g ; Zinc = 0.612 [0.409, 0.891] mg/100g (wet weight);",8,30
Channa-argus,nonvenomous,"Freshwater;  benthopelagic. Subtropical; 4°C - 22°C (Ref. 2060); 54°N -   25°N, 111°E -   141°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00489 - 0.01124), b=3.00 (2.88 - 3.12), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 8.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (62 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4,22
Oncorhynchus-kisutch,nonvenomous,"Marine; freshwater; brackish;  pelagic; anadromous (Ref. 51243); depth range 0 - 250 m (Ref. 50550). Subtropical; 0°C - 25°C (Ref. 35682); 72°N -   22°N, 135°E -   111°W (Ref. 117423)","Preferred temperature (Ref. 123201): 1 - 8.9, mean 3.9 °C (based on 453 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00482 - 0.02276), b=3.04 (2.87 - 3.21), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.70 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.98(?); tm=2-4; Fec=1,400).					
								
					
						 Prior r = 0.36, 95% CL = 0.24 - 0.55, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (52 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (72 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",1,8.9
Pangasianodon-hypophthalmus,nonvenomous,Freshwater;  benthopelagic; pH range: 6.5 - 7.5; dH range: 2 - 29; potamodromous (Ref. 51243). Tropical; 22°C - 26°C (Ref. 13371); 19°N -   8°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00479 (0.00303 - 0.00755), b=3.11 (2.98 - 3.24), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.46 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=4-5; assuming tmax >10).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",22,26
Gadus-morhua,nonvenomous,"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 600 m (Ref. 1371), usually 150 - 200 m (Ref. 54441). Temperate; 0°C - 15°C; 83°N -   35°N, 76°W -   86°E (Ref. 1371)","Preferred temperature (Ref. 123201): 0.5 - 10.3, mean 6.6 °C (based on 769 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00676 (0.00605 - 0.00756), b=3.08 (3.05 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 7.7 (7.1 - 9.2) years. Estimated as median ln(3)/K based on 57 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.2-1.1; also (Ref. 36717)).					
								
					
						 Prior r = 0.52, 95% CL = 0.34 - 0.78, Based on 48 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (65 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (39 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",0,15
Takifugu-flavidus,nonvenomous,Marine;  demersal. Temperate,"Preferred temperature (Ref. 123201): 13.7 - 22.8, mean 18.6 °C (based on 36 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02291 (0.00950 - 0.05523), b=2.89 (2.71 - 3.07), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (33 of 100).",13.7,22.8
