species,habitat,venomous,threat_to_humans,model_predictions,temp_min,temp_max
Poecilia-reticulata,"Freshwater; brackish;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; non-migratory. Tropical; 18°C - 28°C (Ref. 1672); 14°N -   2°N, 67°W -   52°W",nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.00929 - 0.01787), b=3.13 (3.07 - 3.19), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.40 se; based on food items.					

				
					
					
						 Generation time: 0.3 (0.2 - 0.6) years. Estimated as median ln(3)/K based on 14 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=0.16-0.25; Fec=20-40 with multiple spawning per year).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (33 of 100).",18,28
Poecilia-latipinna,"Marine; freshwater; brackish;  benthopelagic; non-migratory; depth range 0 - ? m (Ref. 55263). Subtropical; 20°C - 28°C (Ref. 2060); 40°N -   16°N, 103°W -   76°W (Ref. 55263)",nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.00763 - 0.02175), b=3.05 (2.91 - 3.19), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; mutiple spawning per year; Fec=10--300).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",20,28
Poeciliopsis-prolifica,Freshwater; brackish;  benthopelagic; pH range: ? - 8.0; dH range: 2 - 10. Subtropical; 24°C - 28°C (Ref. 2059),nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",24,28
Girardinichthys-multiradiatus,Freshwater;  demersal; pH range: 6.0 - 7.5; dH range: ? - 15. Temperate; 12°C - 20°C (Ref. 2060); 21°N -   19°N,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",12,20
Poecilia-formosa,Freshwater; brackish;  benthopelagic; non-migratory. Subtropical; 27°N -   25°N,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01318 (0.00567 - 0.03066), b=3.14 (2.96 - 3.32), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.5   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Poecilia-mexicana,Freshwater; brackish;  benthopelagic; pH range: 7.0 - 7.5; dH range: 20 - 30; non-migratory. Tropical; 22°C - 28°C (Ref. 12468); 19°N -   14°N,nonvenomous,Potential pest (Ref. 1982),"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",22,28
Kryptolebias-marmoratus,"Freshwater; brackish;  benthopelagic; pH range: ? - 7.5; dH range: ? - 16; non-migratory; depth range 0 - ? m (Ref. 55170). Tropical; 18°C - 24°C (Ref. 2060); 31°N -   3°N, 93°W -   49°W (Ref. 55170)",nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00389 (0.00180 - 0.00842), b=3.12 (2.94 - 3.30), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.48 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=0.5).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",18,24
Gadus-chalcogrammus,"Marine; brackish;  benthopelagic; non-migratory; depth range ? - 1280 m (Ref. 50550), usually 30 - 400 m (Ref. 54255). Polar; 68°N -   34°N, 129°E -   120°W (Ref. 54255)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 0.4 - 5.6, mean 1.6 °C (based on 444 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00631 (0.00549 - 0.00725), b=3.02 (2.98 - 3.06), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 6.5 (3.6 - 7.8) years. Estimated as median ln(3)/K based on 25 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Musick et al. 2000 (Ref. 36717); tmax = 28).					
								
					
						 Prior r = 0.32, 95% CL = 0.21 - 0.50, Based on 8 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (59 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (55 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",0.4,5.6
Gadus-macrocephalus,"Marine; brackish;  demersal; oceanodromous (Ref. 51243); depth range 10 - 1280 m (Ref. 50550), usually 100 - 400 m (Ref. 54440). Boreal; 6°C - 9°C (Ref. 11800); 63°N -   31°N, 119°E -   119°W (Ref. 54440)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 0.5 - 6.4, mean 2.9 °C (based on 495 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00724 (0.00626 - 0.00839), b=3.10 (3.06 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Musick et al. 2000 (Ref. 36717); tmax=25; tm=3-8; K=0.11-0.27; Fec >1million).					
								
					
						 Prior r = 0.34, 95% CL = 0.22 - 0.51, Based on 7 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (50 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (45 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",0.5,6.4
Gadus-morhua,"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 600 m (Ref. 1371), usually 150 - 200 m (Ref. 54441). Temperate; 0°C - 15°C; 83°N -   35°N, 76°W -   86°E (Ref. 1371)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 0.5 - 10.3, mean 6.6 °C (based on 769 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00676 (0.00605 - 0.00756), b=3.08 (3.05 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 7.7 (7.1 - 9.2) years. Estimated as median ln(3)/K based on 57 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.2-1.1; also (Ref. 36717)).					
								
					
						 Prior r = 0.52, 95% CL = 0.34 - 0.78, Based on 48 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (65 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (39 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",0.5,10.3
Doryrhamphus-excisus,Marine;  reef-associated; depth range 2 - 50 m (Ref. 30874). Tropical; 30°N -   32°S,nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 24.7 - 29, mean 27.7 °C (based on 800 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00098 (0.00044 - 0.00218), b=3.06 (2.86 - 3.26), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.44 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 185 [102, 389] mg/100g ; Iron = 1.21 [0.67, 2.13] mg/100g ; Protein = 17.4 [16.2, 18.7] % ; Omega3 = 0.13 [0.07, 0.26] g/100g ; Selenium = 32.9 [15.0, 83.3] μg/100g ; VitaminA = 173 [55, 534] μg/100g ; Zinc = 2.25 [1.44, 3.27] mg/100g (wet weight);",24.7,29
